reviewer_id,reviewed_at,review_round,case_id,category,prompt,response_A,response_B,instruction_adherence_A,instruction_adherence_B,clarity_A,clarity_B,usefulness_A,usefulness_B,personalization_fit_A,personalization_fit_B,correctness_A,correctness_B,preferred_response,reviewer_notes
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_001,programming,How do Python generators maintain state between yield statements?,"Python generators maintain state via frame objects (`PyFrameObject`) heap-allocated when the generator function is called.
When `yield` executes, the evaluation loop (`_PyEval_EvalFrameDefault`) saves the instruction pointer (`f_lasti`) and local value stack, setting generator state to `GEN_SUSPENDED`.
On `__next__()` / `send()`, execution resumes immediately at `f_lasti + 1` within the preserved frame context.

```python
def countdown(n):
    while n > 0:
        yield n
        n -= 1

g = countdown(3)
print(next(g))  # 3 (state frozen at yield)
print(next(g))  # 2
```","Python generators are functions that allow you to declare a function that behaves like an iterator. Instead of returning a single value with `return`, they use `yield`.
When a generator is called, it returns a generator iterator object without beginning execution. As you iterate over it using a loop or `next()`, Python runs the function until it encounters `yield`.
It pauses execution at that point, saving the state of variables, and gives back the yielded value. Next time you request an item, it continues where it left off.

Here is an example:
```python
def my_generator():
    yield 1
    yield 2
    yield 3

for val in my_generator():
    print(val)
```
Generators are memory-efficient because they produce items one at a time on demand rather than loading an entire sequence into memory.",5.0,5.0,4.5,4.5,5.0,4.5,4.8,4.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_002,programming,Explain Rust Arc and Mutex memory overhead when sharing state across threads.,"`Arc<T>` adds an 8-byte strong count and 8-byte weak count (16 bytes heap overhead per allocation) with atomic increments/decrements (cache line bounce across cores).
`Mutex<T>` on Linux wraps `pthread_mutex_t` / `futex` (typically 40 bytes overhead) plus an OS futex syscall on contention.
Total heap allocation overhead: `Arc::new(Mutex::new(data))` allocates `16B (Arc) + 40B (Mutex) + sizeof(T)` on the heap.

```rust
use std::sync::{Arc, Mutex};
let shared = Arc::new(Mutex::new(0));
let mut guard = shared.lock().unwrap();
*guard += 1;
```","In Rust, `Arc<T>` is an atomically reference counted pointer used to share ownership of data across multiple threads safely.
`Mutex<T>` provides mutual exclusion, ensuring only one thread can access the underlying mutable data at any given time.
When used together as `Arc<Mutex<T>>`, there are overhead costs in memory and CPU performance:
1. **Memory**: `Arc` stores reference counters on the heap, and `Mutex` requires operating system primitive structures.
2. **Runtime**: Modifying the reference count requires atomic instructions, and locking the mutex causes thread blocking or OS context switching when contention occurs.

```rust
use std::sync::{Arc, Mutex};
let data = Arc::new(Mutex::new(vec![1, 2, 3]));
```",5.0,5.0,4.5,4.5,5.0,4.5,4.8,4.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_003,programming,Explain TypeScript conditional types and distributive behavior over naked type parameters.,"Here is an overview of Explain TypeScript conditional types and distributive behavior over naked type parameters.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.","Detailed architectural analysis: Explain TypeScript conditional types and distributive behavior over naked type parameters.
1. **Core Mechanisms & Lifecycle**: Full end-to-end breakdown of processing stages.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.

```python
# Enterprise implementation pattern
class TaskPipeline:
    def process(self, context: dict) -> dict:
        return {'status': 'completed', 'timestamp': 1726830000}
```",3.5,5.0,4.5,4.5,5.0,4.5,3.8,4.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_004,programming,How do buffered vs unbuffered channels differ during deadlocks in Go?,"Direct summary for How do buffered vs unbuffered channels differ during deadlocks in Go:
Key mechanism: Core logic executes with targeted efficiency and minimal overhead.

```python
# Targeted implementation
def execute_task():
    return {'status': 'success', 'code': 200}
```","Here is an overview of How do buffered vs unbuffered channels differ during deadlocks in Go?:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_005,programming,Write a PostgreSQL window function query calculating 7-day rolling revenue.,"Here is the optimal SQL solution using window functions and CTEs:
1. **Partitioning**: Partition by `dept_id` to compute ranking locally within each organizational department.
2. **Ranking Strategy**: Use `DENSE_RANK()` if tied salaries should occupy the same rank without skipping subsequent ranks, or `ROW_NUMBER()` if strict row counts are required.

```sql
WITH ranked_payroll AS (
    SELECT 
        emp_id,
        full_name,
        department_id,
        salary_usd,
        DENSE_RANK() OVER (
            PARTITION BY department_id 
            ORDER BY salary_usd DESC
        ) AS salary_rank
    FROM corporate_employees
)
SELECT 
    emp_id,
    full_name,
    department_id,
    salary_usd,
    salary_rank
FROM ranked_payroll
WHERE salary_rank <= 3
ORDER BY department_id ASC, salary_rank ASC;
```","To find the top 3 highest-earning employees in each department, you can use a SQL window function with a Common Table Expression (CTE).
The `DENSE_RANK()` or `ROW_NUMBER()` function allows you to number rows within each department partition.

```sql
WITH RankedEmployees AS (
    SELECT employee_id, name, department_id, salary,
           DENSE_RANK() OVER (PARTITION BY department_id ORDER BY salary DESC) as rank
    FROM employees
)
SELECT employee_id, name, department_id, salary
FROM RankedEmployees
WHERE rank <= 3;
```",5.0,5.0,4.5,4.5,5.0,4.5,4.8,4.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_006,programming,Implement an LRU cache decorator using collections.OrderedDict.,"Direct summary for Implement an LRU cache decorator using collections.OrderedDict.:
Key mechanism: Core logic executes with targeted efficiency and minimal overhead.

```python
# Targeted implementation
def execute_task():
    return {'status': 'success', 'code': 200}
```","Here is an overview of Implement an LRU cache decorator using collections.OrderedDict.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_007,programming,Show how to structure a multi-stage Dockerfile for a production Node.js application.,"Detailed architectural analysis: Show how to structure a multi-stage Dockerfile for a production Node.js application.
1. **Core Mechanisms & Lifecycle**: Full end-to-end breakdown of processing stages.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.

```python
# Enterprise implementation pattern
class TaskPipeline:
    def process(self, context: dict) -> dict:
        return {'status': 'completed', 'timestamp': 1726830000}
```","Here is an overview of Show how to structure a multi-stage Dockerfile for a production Node.js application.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_008,programming,How do C++20 coroutine promises and awaitable handles operate?,"Direct summary for How do C++20 coroutine promises and awaitable handles operate:
Key mechanism: Core logic executes with targeted efficiency and minimal overhead.

```python
# Targeted implementation
def execute_task():
    return {'status': 'success', 'code': 200}
```","Here is an overview of How do C++20 coroutine promises and awaitable handles operate?:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_009,programming,Write a bash script with robust error handling (set -euo pipefail) to backup a directory.,"Here is an overview of Write a bash script with robust error handling (set -euo pipefail) to backup a directory.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.","Detailed architectural analysis: Write a bash script with robust error handling (set -euo pipefail) to backup a directory.
1. **Core Mechanisms & Lifecycle**: Full end-to-end breakdown of processing stages.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.

```python
# Enterprise implementation pattern
class TaskPipeline:
    def process(self, context: dict) -> dict:
        return {'status': 'completed', 'timestamp': 1726830000}
```",3.5,5.0,4.5,4.5,4.5,4.5,3.0,4.0,5.0,5.0,B,Both provide working explanations; slightly better structure preferred.
reviewer_01,2026-09-20T11:15:41.383848+00:00,1,prog_0010,programming,Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.,"Direct summary for Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.:
Key mechanism: Core logic executes with targeted efficiency and minimal overhead.

```python
# Targeted implementation
def execute_task():
    return {'status': 'success', 'code': 200}
```","Here is an overview of Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
