reviewer_id,reviewed_at,review_round,case_id,category,prompt,response_A,response_B,instruction_adherence_A,instruction_adherence_B,clarity_A,clarity_B,usefulness_A,usefulness_B,personalization_fit_A,personalization_fit_B,correctness_A,correctness_B,preferred_response,reviewer_notes
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_001,programming,How do Python generators maintain state between yield statements?,"Python generators keep a hidden frame that stores local variables, the instruction pointer, and the stack each time they hit a `yield`. When `next()` is called again, execution resumes right after the last `yield` with all locals exactly as they were.  

```python
def count():
    i = 0               # i is stored in the generator’s frame
    while True:
        yield i        # pause, preserving i and the loop state
        i += 1          # resume here on the next call

g = count()
print(next(g))  # 0
print(next(g))  # 1
```

The generator object’s internal state (locals, stack, and current bytecode offset) is what lets it pick up where it left off.","Python generators keep their state in a hidden frame object that stores local variables, the instruction pointer, and the execution stack. When a `yield` runs, the frame is suspended and the generator object retains this snapshot; calling `next()` (or `await`‑ing an async generator) restores the frame and continues from the saved point. This way each `yield` resumes exactly where the previous one left off, preserving all intermediate values.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_002,programming,Explain Rust Arc and Mutex memory overhead when sharing state across threads.,"`Arc<T>` adds a single atomic reference‑count (usually a `usize`) stored alongside the heap allocation, so each clone incurs an extra atomic increment/decrement and a pointer indirection when accessing the inner `T`. `Mutex<T>` adds a lock word (typically a `usize` or `u32` for the OS futex state) plus possible padding to align to cache‑line boundaries, and each lock/unlock performs an atomic compare‑exchange and may cause a kernel transition on contention. Together they introduce roughly 2 words of per‑allocation overhead plus the cost of atomic operations on every clone, lock, and unlock, plus potential cache‑line bouncing when multiple threads contend. In practice the overhead is modest for low‑contention workloads but can dominate performance if locks are heavily contested. 

```rust
use std::sync::{Arc, Mutex};
use std::thread;

let data = Arc::new(Mutex::new(0usize));
let mut handles = Vec::new();

for _ in 0..4 {
    let d = Arc::clone(&data);
    handles.push(thread::spawn(move || {
        let mut guard = d.lock().unwrap(); // atomic lock
        *guard += 1;                       // read‑modify‑write
    }));
}
for h in handles { h.join().unwrap(); }
println!(""Result: {}"", *data.lock().unwrap());
```","`Arc<T>` stores a pointer to a heap‑allocated control block that holds the reference count (an atomic usize) and the `T` value; each clone increments the atomic count, so the overhead is one extra pointer per handle plus the atomic increment/decrement on every clone or drop. `Mutex<T>` wraps the data with a lock flag (usually a `pthread_mutex_t` or a platform‑specific atomic flag) and may add padding to align to cache lines, so each protected value incurs at least a few extra bytes and the cost of acquiring/releasing the lock (an atomic compare‑exchange and possible kernel fallback). Together, an `Arc<Mutex<T>>` adds the pointer, the atomic ref‑count, the mutex state, and any alignment padding, plus runtime overhead from atomic operations and potential contention when multiple threads contend for the lock. In practice the memory overhead is modest (typically 2–3 words per shared value), while the performance impact depends on lock contention and the frequency of cloning the `Arc`.",5.0,3.5,4.5,4.5,5.0,4.5,4.8,3.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_003,programming,Explain TypeScript conditional types and distributive behavior over naked type parameters.,"TypeScript conditional types have the form `T extends U ? X : Y`, returning `X` if `T` is assignable to `U`, otherwise `Y`. When the checked type `T` is a *naked* type parameter (used directly, not wrapped), the conditional is applied to each member of a union individually, producing a union of the results—this is the distributive property. For example, `type Foo<T> = T extends string ? number : boolean;` yields `Foo<""a"" | 42>` → `number | boolean`. Wrapping `T` (e.g., `[T]`) disables distribution, treating the whole union as a single type. This lets you control whether you want per‑union‑member logic or a single check.","TypeScript conditional types use the syntax `T extends U ? X : Y` to select one of two types based on whether a type `T` is assignable to `U`. When the checked type `T` is a *naked* type parameter (i.e., not wrapped in a tuple or other container), the conditional distributes over each member of a union, producing a union of the results. For example, `type ToArray<T> = T extends any ? T[] : never;` applied to `string | number` yields `string[] | number[]` because the conditional is evaluated separately for `string` and `number`.",3.5,3.5,4.5,4.5,4.5,4.5,3.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_004,programming,How do buffered vs unbuffered channels differ during deadlocks in Go?,"Buffered channels have a finite queue, so a send only blocks when the buffer is full; this lets a goroutine continue past the send even if no receiver is ready yet. Unbuffered channels have no queue, so every send blocks until another goroutine receives, making mismatched send/receive patterns more likely to deadlock. A deadlock occurs when all goroutines are blocked on channel operations with no one able to proceed—unbuffered channels hit this instantly, while buffered ones can mask it until the buffer empties.  

```go
package main

import (
	""fmt""
	""time""
)

func main() {
	// Unbuffered deadlock
	// ch := make(chan int) // uncomment for deadlock
	// Buffered version avoids immediate deadlock
	ch := make(chan int, 2)

	go func() {
		ch <- 1 // non‑blocking until two values are queued
		ch <- 2
		ch <- 3 // blocks here if buffer is full
		fmt.Println(""sent 3"")
	}()

	time.Sleep(time.Second) // give sender time to block
	fmt.Println(<-ch, <-ch) // receive two values, unblocks sender
}
```  

With the unbuffered channel (`make(chan int)`) the first send would block forever because no receiver exists, causing a deadlock; the buffered channel (`make(chan int, 2)`) lets the first two sends proceed before blocking.","Unbuffered channels block the sender until a receiver is ready (and vice‑versa), so if no goroutine is receiving the send will stall and the runtime will report a deadlock as soon as all goroutines are blocked. Buffered channels let a send proceed until the buffer’s capacity is reached; deadlock only occurs when the buffer is full and no goroutine is receiving, or when all goroutines are otherwise blocked. In short, buffering adds slack that can prevent immediate deadlocks, but once the buffer is exhausted the same deadlock condition applies.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_005,programming,Write a PostgreSQL window function query calculating 7-day rolling revenue.,"Use a windowed `SUM()` that looks back six days plus the current day:  

```sql
SELECT
    sale_date,
    revenue,
    SUM(revenue) OVER (
        ORDER BY sale_date
        ROWS BETWEEN 6 PRECEDING AND CURRENT ROW
    ) AS revenue_7day_rolling
FROM sales
ORDER BY sale_date;
```  

This returns each day’s revenue and the total revenue for that day and the previous six days.","Use a window sum over the last seven days:

```sql
SELECT
    sale_date,
    revenue,
    SUM(revenue) OVER (
        ORDER BY sale_date
        ROWS BETWEEN 6 PRECEDING AND CURRENT ROW
    ) AS revenue_7day_rolling
FROM sales
ORDER BY sale_date;
```

This sums each day’s revenue with the previous six days, giving a 7‑day rolling total. Adjust the table/column names as needed.",5.0,5.0,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.0,B,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_006,programming,Implement an LRU cache decorator using collections.OrderedDict.,"Here’s a compact LRU‑cache decorator built on `collections.OrderedDict` that limits the cache to a given `maxsize` and evicts the least‑recently‑used entry when the limit is exceeded:

```python
from collections import OrderedDict
from functools import wraps

def lru_cache(maxsize=128):
    def decorator(func):
        cache = OrderedDict()

        @wraps(func)
        def wrapper(*args, **kwargs):
            key = (args, tuple(sorted(kwargs.items())))
            if key in cache:
                cache.move_to_end(key)          # mark as recently used
                return cache[key]
            result = func(*args, **kwargs)
            cache[key] = result
            if len(cache) > maxsize:
                cache.popitem(last=False)       # discard LRU entry
            return result
        return wrapper
    return decorator
```

**Usage**

```python
@lru_cache(maxsize=3)
def fib(n):
    return n if n < 2 else fib(n-1) + fib(n-2)

print([fib(i) for i in range(6)])   # cached calls after the first few
```

The decorator stores call arguments as a hashable key, moves a hit to the end of the `OrderedDict`, and removes the oldest entry once `maxsize` is exceeded.","Here’s a compact LRU‑cache decorator built on `collections.OrderedDict`:

```python
from collections import OrderedDict
from functools import wraps

def lru_cache(maxsize=128):
    def decorator(func):
        cache = OrderedDict()

        @wraps(func)
        def wrapper(*args, **kwargs):
            # key must be hashable; combine args and sorted kwargs
            key = args + tuple(sorted(kwargs.items()))
            if key in cache:
                cache.move_to_end(key)          # mark as most‑recent
                return cache[key]
            result = func(*args, **kwargs)
            cache[key] = result
            if len(cache) > maxsize:            # evict least‑recent
                cache.popitem(last=False)
            return result
        return wrapper
    return decorator
```

The decorator stores results in an `OrderedDict`, moves accessed entries to the end to denote recent use, and discards the oldest entry when the cache exceeds `maxsize`. Use it like `@lru_cache(64)` above any pure function.",5.0,5.0,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_007,programming,Show how to structure a multi-stage Dockerfile for a production Node.js application.,"A multi‑stage Dockerfile lets you compile your Node.js app in a builder image, then copy only the runtime artifacts into a minimal production image.  

In the **builder** stage you use a full Node image, set `WORKDIR`, copy `package*.json`, run `npm ci` (or `npm install`), copy the source, and run the build script (e.g., `npm run build`).  

In the **final** stage you start from a lightweight Node (or `alpine`) image, copy the compiled output and only the production `node_modules`, set `NODE_ENV=production`, expose the port, and define `CMD [""node"", ""dist/index.js""]`.  

```Dockerfile
# ---------- Builder ----------
FROM node:20 AS builder
WORKDIR /app
COPY package*.json ./
RUN npm ci
COPY . .
RUN npm run build   # produces ./dist

# ---------- Production ----------
FROM node:20-alpine AS runtime
WORKDIR /app
ENV NODE_ENV=production
COPY --from=builder /app/dist ./dist
COPY --from=builder /app/node_modules ./node_modules
EXPOSE 3000
CMD [""node"", ""dist/index.js""]
```","```Dockerfile
# ---------- Builder stage ----------
FROM node:20-alpine AS builder
WORKDIR /app
COPY package*.json ./
RUN npm ci               # install all deps
COPY . .
RUN npm run build        # compile TypeScript / bundle assets

# ---------- Production stage ----------
FROM node:20-alpine AS runtime
WORKDIR /app
COPY package*.json ./
RUN npm ci --omit=dev    # only production deps
COPY --from=builder /app/dist ./dist   # copy built output
EXPOSE 3000
CMD [""node"", ""dist/index.js""]
```  

The first stage installs full dependencies, builds the app, and the second stage pulls only the compiled code and production‑only packages, keeping the final image small and secure.",5.0,5.0,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_008,programming,How do C++20 coroutine promises and awaitable handles operate?,"C++20 coroutines separate the *promise* (which builds the return object and controls suspension) from the *awaitable* (which defines how `co_await` interacts with the coroutine), and the runtime uses a `std::coroutine_handle<promise_type>` to resume, destroy, or query the coroutine’s state. The promise type must provide `get_return_object()`, `initial_suspend()`, `final_suspend()`, `return_void()`/`return_value()`, and optionally `await_transform()` to customize awaiting, while any type used with `co_await` must supply `await_ready()`, `await_suspend(handle)`, and `await_resume()`. The handle is the bridge: `handle.resume()` continues execution, `handle.done()` checks completion, and `handle.destroy()` frees resources.

```cpp
#include <coroutine>
#include <iostream>

struct Generator {
    struct promise_type {
        int current;
        std::suspend_always initial_suspend() noexcept { return {}; }
        std::suspend_always final_suspend() noexcept   { return {}; }
        auto get_return_object() noexcept {
            return Generator{ std::coroutine_handle<promise_type>::from_promise(*this) };
        }
        std::suspend_always yield_value(int v) noexcept {
            current = v;
            return {};
        }
        void return_void() noexcept {}
        void unhandled_exception() noexcept { std::terminate(); }
    };

    std::coroutine_handle<promise_type> h;
    explicit Generator(std::coroutine_handle<promise_type> h) : h(h) {}
    ~Generator() { if (h) h.destroy(); }

    bool next() {
        h.resume();
        return !h.done();
    }
    int value() const { return h.promise().current; }
};

Generator count_to_three() {
    co_yield 1;
    co_yield 2;
    co_yield 3;
}

int main() {
    auto gen = count_to_three();
    while (gen.next())
        std::cout << gen.value() << ' ';
}
```

The `promise_type` builds the `Generator` object, `co_yield` uses `yield_value` to provide an awaitable that suspends, and the `std::coroutine_handle` lets `main` drive the coroutine step‑by‑step.","In C++20 a coroutine’s **promise type** supplies the interface between the coroutine frame and the caller: it defines `get_return_object()` (the value the caller receives), `initial_suspend()` and `final_suspend()` (which control when the coroutine first suspends and when it yields control at the end), and `unhandled_exception()` (how exceptions are propagated). The **coroutine handle** (`std::coroutine_handle<promise_type>`) is a lightweight, type‑erased pointer to the coroutine’s frame; it lets the caller `resume()` the coroutine, `destroy()` its resources, and query its state (`done()`). An **awaitable** object implements `await_ready()`, `await_suspend(handle)`, and `await_resume()`; when co_awaited, the compiler generates code that uses the handle to suspend the current coroutine and resume the awaited one according to those three functions. In practice, the promise creates the handle, the handle drives execution, and awaitables decide when and how that execution is paused and resumed.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_009,programming,Write a bash script with robust error handling (set -euo pipefail) to backup a directory.,"```bash
#!/usr/bin/env bash
set -euo pipefail

# Usage: backup.sh SOURCE_DIR DEST_DIR
if [[ $# -ne 2 ]]; then
  echo ""Usage: $0 <source_dir> <dest_dir>"" >&2
  exit 1
fi

src=""${1%/}""
dst=""${2%/}""
timestamp=$(date +%Y%m%d_%H%M%S)
archive=""${dst}/backup_${timestamp}.tar.gz""

# Verify source exists and is readable
if [[ ! -d ""$src"" || ! -r ""$src"" ]]; then
  echo ""Error: source directory '$src' does not exist or is not readable."" >&2
  exit 2
fi

# Create destination if missing
mkdir -p ""$dst""

# Create compressed tarball
tar -czf ""$archive"" -C ""$(dirname ""$src"")"" ""$(basename ""$src"")""

# Verify archive was created
if [[ ! -f ""$archive"" ]]; then
  echo ""Error: backup failed, archive not created."" >&2
  exit 3
fi

echo ""Backup of '$src' completed successfully: $archive""
```","Here’s a concise, robust backup script using `set -euo pipefail`:

```bash
#!/usr/bin/env bash
set -euo pipefail

SRC_DIR=""${1:-/path/to/source}""
DEST_DIR=""${2:-/path/to/backup}""
TIMESTAMP=$(date +""%Y%m%d_%H%M%S"")
ARCHIVE=""${DEST_DIR}/backup_${TIMESTAMP}.tar.gz""

mkdir -p ""$DEST_DIR""
if [[ ! -d ""$SRC_DIR"" ]]; then
  echo ""Source directory '$SRC_DIR' does not exist."" >&2
  exit 1
fi

tar -czf ""$ARCHIVE"" -C ""$(dirname ""$SRC_DIR"")"" ""$(basename ""$SRC_DIR"")""
echo ""Backup of '$SRC_DIR' completed: $ARCHIVE""
```

Run it as `./backup.sh /my/data /my/backups`; it validates inputs, creates a timestamped tar.gz, and aborts on any error.",5.0,5.0,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
automated_heuristic_rater_v1,2026-09-20T19:54:38.137360+00:00,1,prog_0010,programming,Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.,"The GIL lets only one thread execute Python bytecode at a time, so CPU‑bound threads on multi‑core machines get little or no speedup. IO‑bound threads usually release the GIL while waiting for system calls (e.g., sleep, socket I/O), letting other threads run and often scaling close to the number of cores. Below is a short benchmark that runs a CPU‑heavy loop and an IO‑heavy sleep in four threads each:

```python
import time, threading
from concurrent.futures import ThreadPoolExecutor

def cpu_task():
    # simple CPU‑bound work: sum of a large range
    return sum(range(10_000_000))

def io_task():
    # IO‑bound work: sleep releases the GIL
    time.sleep(0.5)
    return ""done""

def run_benchmark(func, label):
    start = time.perf_counter()
    with ThreadPoolExecutor(max_workers=4) as ex:
        results = list(ex.map(func, range(4)))  # launch 4 threads
    elapsed = time.perf_counter() - start
    print(f""{label}: {elapsed:.3f}s, results={results}"")

run_benchmark(cpu_task, ""CPU‑bound"")
run_benchmark(io_task, ""IO‑bound"")
```","The GIL lets only one thread execute Python bytecode at a time, so CPU‑bound threads contend for it and see little speedup, while I/O‑bound threads often release the GIL during system calls and can run concurrently. In practice, a CPU‑heavy loop in multiple threads runs almost as fast as a single thread, whereas many network or file reads scale with thread count.  

```python
import threading, time, urllib.request

def cpu_task():
    x = 0
    for _ in range(10_000_000):
        x += 1

def io_task():
    urllib.request.urlopen('https://httpbin.org/delay/1').read()

def run(fn, n):
    start = time.time()
    threads = [threading.Thread(target=fn) for _ in range(n)]
    for t in threads: t.start()
    for t in threads: t.join()
    print(f'{fn.__name__} x{n}: {time.time()-start:.2f}s')

run(cpu_task, 4)   # little improvement over 1 thread
run(io_task, 4)    # roughly 1 s instead of 4 s
```",5.0,5.0,4.5,4.5,4.5,4.5,4.0,4.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
