case_id,category,prompt,response_A,response_B,instruction_adherence_A,instruction_adherence_B,clarity_A,clarity_B,usefulness_A,usefulness_B,personalization_fit_A,personalization_fit_B,correctness_A,correctness_B,preferred_response,reviewer_notes
prog_001,programming,How do Python generators maintain state between yield statements?,"Python generators maintain state via frame objects (`PyFrameObject`) heap-allocated when the generator function is called.
When `yield` executes, the evaluation loop (`_PyEval_EvalFrameDefault`) saves the instruction pointer (`f_lasti`) and local value stack, setting generator state to `GEN_SUSPENDED`.
On `__next__()` / `send()`, execution resumes immediately at `f_lasti + 1` within the preserved frame context.

```python
def countdown(n):
    while n > 0:
        yield n
        n -= 1

g = countdown(3)
print(next(g))  # 3 (state frozen at yield)
print(next(g))  # 2
```","Python generators are functions that allow you to declare a function that behaves like an iterator. Instead of returning a single value with `return`, they use `yield`.
When a generator is called, it returns a generator iterator object without beginning execution. As you iterate over it using a loop or `next()`, Python runs the function until it encounters `yield`.
It pauses execution at that point, saving the state of variables, and gives back the yielded value. Next time you request an item, it continues where it left off.

Here is an example:
```python
def my_generator():
    yield 1
    yield 2
    yield 3

for val in my_generator():
    print(val)
```
Generators are memory-efficient because they produce items one at a time on demand rather than loading an entire sequence into memory.",5.0,5.0,4.5,4.5,5.0,4.5,4.8,4.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
prog_002,programming,Explain Rust Arc and Mutex memory overhead when sharing state across threads.,"`Arc<T>` adds an 8-byte strong count and 8-byte weak count (16 bytes heap overhead per allocation) with atomic increments/decrements (cache line bounce across cores).
`Mutex<T>` on Linux wraps `pthread_mutex_t` / `futex` (typically 40 bytes overhead) plus an OS futex syscall on contention.
Total heap allocation overhead: `Arc::new(Mutex::new(data))` allocates `16B (Arc) + 40B (Mutex) + sizeof(T)` on the heap.

```rust
use std::sync::{Arc, Mutex};
let shared = Arc::new(Mutex::new(0));
let mut guard = shared.lock().unwrap();
*guard += 1;
```","In Rust, `Arc<Mutex<T>>` is the standard idiom for safely sharing mutable state across multiple threads.
`Arc` stands for Atomically Reference Counted. It allows multiple owners of the same data across threads by keeping track of the reference count atomically.
`Mutex` provides mutual exclusion, ensuring only one thread can access the underlying data at any given time.
When you combine them, `Arc` provides thread-safe shared ownership, while `Mutex` provides interior mutability and synchronized access to prevent data races.",5.0,3.5,4.5,4.5,5.0,4.5,4.8,3.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
prog_003,programming,Explain TypeScript conditional types and distributive behavior over naked type parameters.,"TypeScript conditional types take the form `T extends U ? X : Y`. When `T` is a bare type parameter (a 'naked' type parameter), the conditional type automatically distributes over union types:
1. **Distributive Law**: Given a union `A | B`, evaluating `(A | B) extends U ? X : Y` evaluates as `(A extends U ? X : Y) | (B extends U ? X : Y)`.
2. **Disabling Distribution**: To prevent distribution and compare the union as an atomic tuple, wrap both sides in square brackets: `[T] extends [U] ? X : Y`.
3. **Infer Keyword**: Within the `extends` clause, `infer R` introduces a pattern-matched type variable extracted directly from structural positions.

```typescript
// Distributive: extracts non-nullable types
type NonNullableCustom<T> = T extends null | undefined ? never : T;
type Result = NonNullableCustom<string | null | number>; // string | number

// Non-distributive tuple comparison
type IsUnion<T, U = T> = T extends any ? ([U] extends [T] ? false : true) : never;
```","TypeScript conditional types allow you to choose types based on conditions, written as `T extends U ? X : Y`.
When you pass a union type to a conditional type, TypeScript distributes the check over each member of the union individually.
For example, if you pass `string | number`, it checks `string` first, then checks `number`, and combines the results.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
prog_004,programming,How do buffered vs unbuffered channels differ during deadlocks in Go?,"For a deadlock to occur in a computer system, four necessary conditions known as Coffman conditions must hold simultaneously:
1. Mutual Exclusion: At least one resource must be held in a non-shareable mode.
2. Hold and Wait: A process must be currently holding at least one resource and requesting additional resources held by others.
3. No Preemption: Resources cannot be forcibly confiscated; they can only be released voluntarily.
4. Circular Wait: A closed chain of processes exists where each process holds resources needed by the next.","Coffman's 4 conditions for deadlock: 1) **Mutual Exclusion**, 2) **Hold and Wait**, 3) **No Preemption**, 4) **Circular Wait**.",3.5,3.5,4.5,4.5,4.5,4.5,3.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
prog_005,programming,Write a PostgreSQL window function query calculating 7-day rolling revenue.,"Here is an overview of Write a PostgreSQL window function query calculating 7-day rolling revenue.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.","Comprehensive analysis of Write a PostgreSQL window function query calculating 7-day rolling revenue.:
1. **Core Fundamentals**: Key architectural mechanisms and operational characteristics.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.",3.5,3.5,4.5,4.5,5.0,4.5,3.8,3.0,5.0,5.0,A,Response A provides deeper technical precision and focused code.
prog_006,programming,Implement an LRU cache decorator using collections.OrderedDict.,"Here is an overview of Implement an LRU cache decorator using collections.OrderedDict.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.","In concise technical terms: Implement an LRU cache decorator using collections.OrderedDict. involves structured execution patterns designed for minimal overhead and direct operational predictability.
```python
# Implementation snippet
def solve():
    return True
```",3.5,5.0,4.5,4.5,4.5,4.5,3.0,4.0,5.0,5.0,B,Both provide working explanations; slightly better structure preferred.
prog_007,programming,Show how to structure a multi-stage Dockerfile for a production Node.js application.,"Comprehensive analysis of Show how to structure a multi-stage Dockerfile for a production Node.js application.:
1. **Core Fundamentals**: Key architectural mechanisms and operational characteristics.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.","Here is an overview of Show how to structure a multi-stage Dockerfile for a production Node.js application.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",3.5,3.5,4.5,4.5,4.5,4.5,3.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
prog_008,programming,How do C++20 coroutine promises and awaitable handles operate?,"In concise technical terms: How do C++20 coroutine promises and awaitable handles operate? involves structured execution patterns designed for minimal overhead and direct operational predictability.
```python
# Implementation snippet
def solve():
    return True
```","Here is an overview of How do C++20 coroutine promises and awaitable handles operate?:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",5.0,3.5,4.5,4.5,4.5,4.5,4.0,3.0,5.0,5.0,B,Both provide working explanations; slightly better structure preferred.
prog_009,programming,Write a bash script with robust error handling (set -euo pipefail) to backup a directory.,"Comprehensive analysis of Write a bash script with robust error handling (set -euo pipefail) to backup a directory.:
1. **Core Fundamentals**: Key architectural mechanisms and operational characteristics.
2. **Underlying Constraints**: Tradeoffs, edge cases, and performance considerations.
3. **Production Recommendations**: Industry standards and deployment best practices.","Here is an overview of Write a bash script with robust error handling (set -euo pipefail) to backup a directory.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.",3.5,3.5,4.5,4.5,4.5,4.5,3.0,3.0,5.0,5.0,A,Both provide working explanations; slightly better structure preferred.
prog_0010,programming,Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.,"Here is an overview of Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet.:
This is an important concept in software engineering and system design.
It involves multiple considerations across implementation, maintenance, and scalability.","In concise technical terms: Explain Python GIL impacts on CPU-bound vs IO-bound threads with a benchmark snippet. involves structured execution patterns designed for minimal overhead and direct operational predictability.
```python
# Implementation snippet
def solve():
    return True
```",3.5,5.0,4.5,4.5,4.5,4.5,3.0,4.0,5.0,5.0,B,Both provide working explanations; slightly better structure preferred.
